id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,description,ownername,tags,machine_tags,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,url_c,height_c,width_c
53481728091,34936566@N02,4d6f22a1d4,65535,66,look up,1,0,0,{'_content': '(Wien/An der unteren Alten Donau)'},Johannes Ortner,baumkrone countrycodeat müll österreich vonunten wien winter 52projects2024 flickr natur flora baum fotospezial jahreszeiten,,48.219602,16.436227,16,0,,3322740,1,0,0,0,https://live.staticflickr.com/65535/53481728091_4d6f22a1d4_c.jpg,533.0,800.0
53481727856,34936566@N02,3bd1affbf9,65535,66,look up,1,0,0,{'_content': '(Wien/Leystraße)'},Johannes Ortner,countrycodeat laterne nacht österreich vonunten wien 52projects2024 flickr fotospezial,,48.229011,16.393447,16,0,,11903644,1,0,0,0,https://live.staticflickr.com/65535/53481727856_3bd1affbf9_c.jpg,533.0,800.0
53481727326,34936566@N02,c16149507a,65535,66,look up,1,0,0,{'_content': '(Wien/Weschelstraße)'},Johannes Ortner,baum blauestunde countrycodeat mond österreich wien 52projects2024 flickr natur flora fotospezial,,48.230183,16.395711,16,0,,11903644,1,0,0,0,https://live.staticflickr.com/65535/53481727326_c16149507a_c.jpg,800.0,533.0
53481066623,99786858@N05,11c8c3ae06,65535,66,Wien - Peterskirche,1,0,0,{'_content': 'Licht des Barock'},godran25,europe europa europeonflickr autriche austria österreich vienna vienne wien église kirche church peterskirche architecture architektur religion christianisme christentum christianity sculpture sculptures skulptur lumière light licht baroque barock peintures malerei gemälde paintings painting fenêtres fenster windows,,48.209551,16.369940,16,0,,2775260,1,0,0,0,https://live.staticflickr.com/65535/53481066623_11c8c3ae06_c.jpg,600.0,800.0
53481066543,99786858@N05,685d5e0baa,65535,66,Neptunbrunnen,1,0,0,{'_content': 'Schlosspark Schönbrunn'},godran25,europe europa europeonflickr autriche austria österreich vienna vienne wien schönbrunn brunnen fontaine fountain neptunbrunnen sculpture sculptures skulptur noiretblanc blackwhite schwarzweiss nb bw water eau wasser park parc château schloss castle mythologie mythology personnages characters chevaux horses pferde,,48.181630,16.310727,16,0,,2776421,1,0,0,0,https://live.staticflickr.com/65535/53481066543_685d5e0baa_c.jpg,450.0,800.0
53480815321,25507134@N00,1179129a69,0,0,20240101_Neujahrswalk_002,1,0,0,{'_content': 'schwarze Flagge auf einem GebÃ¤ude der Donaucity\n\n(aufgenommen bei Walkingrunde am Neujahrstag 2023)'},Tauralbus,flag fahne donaucity video,,48.234877,16.406544,16,0,,3322740,1,0,0,0,https://live.staticflickr.com/31337/53480815321_1179129a69_c.jpg,800.0,450.0
53481221090,25507134@N00,91a5cf8e28,65535,66,20240101_Neujahrswalk_009,1,0,0,{'_content': 'Bauarbeiten auf der Donauplatte in der Donaucity\n\n(aufgenommen bei Walkingrunde am Neujahrstag 2023)'},Tauralbus,wien vienna austria österreich baustelle donaucity gebäude building,,48.232688,16.409411,16,0,,3322740,1,0,0,0,https://live.staticflickr.com/65535/53481221090_91a5cf8e28_c.jpg,600.0,800.0
53481121149,25507134@N00,6f0f9f3fa6,65535,66,20240101_Neujahrswalk_013,1,0,0,"{'_content': 'Selfie an der Copa Cagrana, Neue Donau\n\n(aufgenommen bei Walkingrunde am Neujahrstag 2023)'}",Tauralbus,wien vienna austria österreich selfie alfreddiem tauralbus mann male,,48.232327,16.408874,16,0,,3322740,1,0,0,0,https://live.staticflickr.com/65535/53481121149_6f0f9f3fa6_c.jpg,800.0,600.0
53481120944,25507134@N00,8e208a97df,65535,66,20240101_Neujahrswalk_016,1,0,0,{'_content': 'Schwan an der Neuen Donau\n\n(aufgenommen bei Walkingrunde am Neujahrstag 2023)'},Tauralbus,wien vienna austria österreich neuedonau gewässer wasser donaustadt schwan swan vogel bird animal tier,,48.232827,16.408427,16,0,,3322740,1,0,0,0,https://live.staticflickr.com/65535/53481120944_8e208a97df_c.jpg,800.0,600.0
53481220330,25507134@N00,5fa05e3cd9,65535,66,20240101_Neujahrswalk_018,1,0,0,{'_content': 'Biber-Spuren an der Neuen Donau\n\n(aufgenommen bei Walkingrunde am Neujahrstag 2023)'},Tauralbus,wien vienna austria österreich biber neuedonau gewässer wasser donaustadt,,48.233555,16.407697,16,0,,3322740,1,0,0,0,https://live.staticflickr.com/65535/53481220330_5fa05e3cd9_c.jpg,800.0,600.0
